Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,1141,1533,2674,Kangyidaunt,MMR017002
 Rural,8102,32190,40292,Kangyidaunt,MMR017002
 Total,9243,33723,42966,Kangyidaunt,MMR017002
