Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,3433,4445,7878,Khayan,MMR013026
 Rural,7680,23756,31436,Khayan,MMR013026
 Total,11113,28201,39314,Khayan,MMR013026
