Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,6317,2696,9013,Kyaukpadaung,MMR010020
 Rural,13033,39915,52948,Kyaukpadaung,MMR010020
 Total,19350,42611,61961,Kyaukpadaung,MMR010020
