Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,112,490,602,Kyauktalongyi(ST),MMR014001
 Rural,2187,9476,11663,Kyauktalongyi(ST),MMR014001
 Total,2299,9966,12265,Kyauktalongyi(ST),MMR014001
