Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,2134,1910,4044,Bilin,MMR011010
 Rural,6758,28429,35187,Bilin,MMR011010
 Total,8892,30339,39231,Bilin,MMR011010
