Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,5266,866,6132,Namkham,MMR015010
 Rural,7509,7776,15285,Namkham,MMR015010
 Total,12775,8642,21417,Namkham,MMR015010
