Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,161,33,194,Kongyan,MMR015023
 Rural,1569,3699,5268,Kongyan,MMR015023
 Total,1730,3732,5462,Kongyan,MMR015023
