Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,27068,5657,32725,South Okkalapa,MMR013011
 Total,27068,5657,32725,South Okkalapa,MMR013011
