Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,9473,10356,19829,Hinthada,MMR017008
 Rural,10765,55535,66300,Hinthada,MMR017008
 Total,20238,65891,86129,Hinthada,MMR017008
