Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,125,653,778,Khawzar,MMR011006
 Rural,580,3460,4040,Khawzar,MMR011006
 Total,705,4113,4818,Khawzar,MMR011006
