Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,2497,2039,4536,Hopon,MMR014003
 Rural,2695,17497,20192,Hopon,MMR014003
 Total,5192,19536,24728,Hopon,MMR014003
