Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,1623,145,1768,Pansai(KyuKute)(ST),MMR015009
 Rural,1125,1650,2775,Pansai(KyuKute)(ST),MMR015009
 Total,2748,1795,4543,Pansai(KyuKute)(ST),MMR015009
