Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,46986,17770,64756,North Okkalapa,MMR013012
 Total,46986,17770,64756,North Okkalapa,MMR013012
