Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,3726,3148,6874,Pyawbwe,MMR010024
 Rural,11789,40200,51989,Pyawbwe,MMR010024
 Total,15515,43348,58863,Pyawbwe,MMR010024
