Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,19611,1024,20635,Sangyoung,MMR013039
 Total,19611,1024,20635,Sangyoung,MMR013039
