Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,814,1656,2470,Pauktaw,MMR012007
 Rural,1471,26603,28074,Pauktaw,MMR012007
 Total,2285,28259,30544,Pauktaw,MMR012007
