Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,31088,18646,49734,Mawlamyine,MMR011001
 Rural,3639,4084,7723,Mawlamyine,MMR011001
 Total,34727,22730,57457,Mawlamyine,MMR011001
