Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,2305,754,3059,Nyaungshwe,MMR014002
 Rural,12668,26907,39575,Nyaungshwe,MMR014002
 Total,14973,27661,42634,Nyaungshwe,MMR014002
