Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,28,203,231,Mineyu(ST),MMR016011
 Rural,7497,3139,10636,Mineyu(ST),MMR016011
 Total,7525,3342,10867,Mineyu(ST),MMR016011
