Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,54661,49146,103807,Hlinethaya,MMR013008
 Rural,16771,28133,44904,Hlinethaya,MMR013008
 Total,71432,77279,148711,Hlinethaya,MMR013008
