Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,10069,874,10943,Ahlon,MMR013037
 Total,10069,874,10943,Ahlon,MMR013037
