Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,625,283,908,Dekkhinathiri,MMR018004
 Rural,2244,3845,6089,Dekkhinathiri,MMR018004
 Total,2869,4128,6997,Dekkhinathiri,MMR018004
 Urban,1937391,1112042,3049433,Dekkhinathiri,MMR018004
 Rural,1644360,6184039,7828399,Dekkhinathiri,MMR018004
 Total,3581751,7296081,10877832,Dekkhinathiri,MMR018004
