Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,71,650,721,Ponparkyin(ST),MMR016008
 Rural,848,5765,6613,Ponparkyin(ST),MMR016008
 Total,919,6415,7334,Ponparkyin(ST),MMR016008
