Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,818,922,1740,Thapaung,MMR017003
 Rural,5816,29681,35497,Thapaung,MMR017003
 Total,6634,30603,37237,Thapaung,MMR017003
