Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,17242,5820,23062,Kyimyindine,MMR013038
 Total,17242,5820,23062,Kyimyindine,MMR013038
