Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,2019,1939,3958,Kungyangon,MMR013029
 Rural,7482,16912,24394,Kungyangon,MMR013029
 Total,9501,18851,28352,Kungyangon,MMR013029
