Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,2231,471,2702,Patheingyi,MMR010007
 Rural,27795,22493,50288,Patheingyi,MMR010007
 Total,30026,22964,52990,Patheingyi,MMR010007
