Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,6441,3074,9515,Nyaung U,MMR010022
 Rural,9422,25725,35147,Nyaung U,MMR010022
 Total,15863,28799,44662,Nyaung U,MMR010022
