Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,89,572,661,Panlon(ST),MMR015021
 Rural,97,427,524,Panlon(ST),MMR015021
 Total,186,999,1185,Panlon(ST),MMR015021
