Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,9416,7270,16686,Mogok,MMR010011
 Rural,5472,13089,18561,Mogok,MMR010011
 Total,14888,20359,35247,Mogok,MMR010011
