Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,2718,1536,4254,Kyaukpyu,MMR012011
 Rural,3219,29791,33010,Kyaukpyu,MMR012011
 Total,5937,31327,37264,Kyaukpyu,MMR012011
