Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,684,169,853,Minemaw,MMR015008
 Rural,3755,5837,9592,Minemaw,MMR015008
 Total,4439,6006,10445,Minemaw,MMR015008
