Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,788,1702,2490,Tada(ST),MMR013024
 Rural,1611,5392,7003,Tada(ST),MMR013024
 Total,2399,7094,9493,Tada(ST),MMR013024
