Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,5713,6800,12513,Myaungmya,MMR017014
 Rural,6474,47185,53659,Myaungmya,MMR017014
 Total,12187,53985,66172,Myaungmya,MMR017014
