Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,13197,5512,18709,Thanlyin,MMR013023
 Rural,21024,21864,42888,Thanlyin,MMR013023
 Total,34221,27376,61597,Thanlyin,MMR013023
