Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,3101,3655,6756,Thongwa,MMR013025
 Rural,9477,23854,33331,Thongwa,MMR013025
 Total,12578,27509,40087,Thongwa,MMR013025
