Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,385,1408,1793,Tagaung,MMR010012
 Rural,601,4998,5599,Tagaung,MMR010012
 Total,986,6406,7392,Tagaung,MMR010012
