Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,647,2902,3549,Hainggyikyun(ST),MMR017004
 Rural,2835,22691,25526,Hainggyikyun(ST),MMR017004
 Total,3482,25593,29075,Hainggyikyun(ST),MMR017004
