Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,5994,2497,8491,Kyaukse,MMR010013
 Rural,17035,32239,49274,Kyaukse,MMR010013
 Total,23029,34736,57765,Kyaukse,MMR010013
