Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,870,640,1510,Yethedaung,MMR012008
 Rural,2809,20022,22831,Yethedaung,MMR012008
 Total,3679,20662,24341,Yethedaung,MMR012008
