Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,10246,8651,18897,Myingyan,MMR010017
 Rural,10419,33024,43443,Myingyan,MMR010017
 Total,20665,41675,62340,Myingyan,MMR010017
