Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,29,52,81,ManKan(ST),MMR015005
 Rural,13,221,234,ManKan(ST),MMR015005
 Total,42,273,315,ManKan(ST),MMR015005
