Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,1915,1924,3839,Kyauktaw,MMR012004
 Rural,3062,29594,32656,Kyauktaw,MMR012004
 Total,4977,31518,36495,Kyauktaw,MMR012004
