Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,2399,979,3378,Hopan,MMR015021
 Rural,2493,4160,6653,Hopan,MMR015021
 Total,4892,5139,10031,Hopan,MMR015021
