Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,1692,1874,3566,Daydaye,MMR017026
 Rural,7815,37229,45044,Daydaye,MMR017026
 Total,9507,39103,48610,Daydaye,MMR017026
