Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,5667,4197,9864,Kyauktan,MMR013024
 Rural,9324,13788,23112,Kyauktan,MMR013024
 Total,14991,17985,32976,Kyauktan,MMR013024
