Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,4648,4489,9137,Maubin,MMR017019
 Rural,9189,53478,62667,Maubin,MMR017019
 Total,13837,57967,71804,Maubin,MMR017019
