Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,30646,13229,43875,Pyigyidagun,MMR010005
 Total,30646,13229,43875,Pyigyidagun,MMR010005
