Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,81,4,85,Mawhtike(ST),MMR015023
 Rural,2870,1248,4118,Mawhtike(ST),MMR015023
 Total,2951,1252,4203,Mawhtike(ST),MMR015023
