Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,319,27,346,Manhero(ST),MMR015009
 Rural,1152,145,1297,Manhero(ST),MMR015009
 Total,1471,172,1643,Manhero(ST),MMR015009
