Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,1698,1144,2842,Natogyi,MMR010019
 Rural,8889,29234,38123,Natogyi,MMR010019
 Total,10587,30378,40965,Natogyi,MMR010019
