Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,3383,3917,7300,Wundwin,MMR010031
 Rural,9692,36577,46269,Wundwin,MMR010031
 Total,13075,40494,53569,Wundwin,MMR010031
