Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,2930,1079,4009,Hsipaw,MMR015014
 Rural,7270,26627,33897,Hsipaw,MMR015014
 Total,10200,27706,37906,Hsipaw,MMR015014
