Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,35359,10097,45456,Thakayta,MMR013013
 Total,35359,10097,45456,Thakayta,MMR013013
