Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,2811,130,2941,Laukine,MMR015022
 Rural,7389,3901,11290,Laukine,MMR015022
 Total,10200,4031,14231,Laukine,MMR015022
