Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,249,528,777,Ahmar(ST),MMR017023
 Rural,3652,23357,27009,Ahmar(ST),MMR017023
 Total,3901,23885,27786,Ahmar(ST),MMR017023
