Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,208,984,1192,Maukme`,MMR014020
 Rural,54,5948,6002,Maukme`,MMR014020
 Total,262,6932,7194,Maukme`,MMR014020
