Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,104,323,427,Tontar(ST),MMR016007
 Rural,72,2195,2267,Tontar(ST),MMR016007
 Total,176,2518,2694,Tontar(ST),MMR016007
