Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,2568,3481,6049,Myanaung,MMR017011
 Rural,6777,47094,53871,Myanaung,MMR017011
 Total,9345,50575,59920,Myanaung,MMR017011
