Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,3468,2655,6123,Lewe,MMR018007
 Rural,17007,42044,59051,Lewe,MMR018007
 Total,20475,44699,65174,Lewe,MMR018007
