Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,3893,1784,5677,Yatsauk,MMR014008
 Rural,4428,15852,20280,Yatsauk,MMR014008
 Total,8321,17636,25957,Yatsauk,MMR014008
