Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,1614,1817,3431,Phekon,MMR014010
 Rural,2701,13952,16653,Phekon,MMR014010
 Total,4315,15769,20084,Phekon,MMR014010
