Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,439,1036,1475,Kyeintali(ST),MMR012017
 Rural,502,4104,4606,Kyeintali(ST),MMR012017
 Total,941,5140,6081,Kyeintali(ST),MMR012017
