Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,2187,3230,5417,Kyaiklatt,MMR017025
 Rural,4918,33413,38331,Kyaiklatt,MMR017025
 Total,7105,36643,43748,Kyaiklatt,MMR017025
